MATCH_ID;SAISON_ID;COMPETITION_ID;MATCHDAY;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE;STADIUM;DATE_TIME;DATE_DAY
FR270559593373;S20202021;FR270559;21.0;Castres Olympique;Stade Toulousain;26.0;24.0;Stade Pierre Fabre;8:48 AM;April 17 2021
FR270559593372;S20202021;FR270559;21.0;Agen;Bordeaux Begles;3.0;49.0;Alfred Armandie;12:45 PM;May 21 2021
FR270559593371;S20202021;FR270559;21.0;Montpellier Herault;Toulon;29.0;10.0;GGL Stadium;3:00 PM;May 11 2021
FR270559593370;S20202021;FR270559;21.0;Racing 92;Stade Francais Paris;29.0;35.0;Paris La Defense Arena;8:05 AM;May 1 2021
FR270559593369;S20202021;FR270559;20.0;Stade Toulousain;Montpellier Herault;16.0;29.0;Stade Ernest-Wallon;12:45 PM;March 27 2021
FR270559593368;S20202021;FR270559;20.0;Castres Olympique;Pau;38.0;33.0;Stade Pierre Fabre;12:30 PM;March 27 2021
FR270559593367;S20202021;FR270559;20.0;Brive;Agen;57.0;3.0;Stade Amedee-Domenech;12:30 PM;March 27 2021
FR270559593366;S20202021;FR270559;20.0;Bordeaux Begles;La Rochelle;11.0;26.0;Stade Chaban-Delmas;12:15 PM;March 27 2021
FR270559593365;S20202021;FR270559;20.0;Bayonne;Racing 92;23.0;13.0;Stade Jean Dauger;12:15 PM;March 27 2021
FR270559593364;S20202021;FR270559;20.0;Stade Francais Paris;Clermont Auvergne;27.0;34.0;Stade Jean Bouin;9:45 AM;March 27 2021
FR270559593363;S20202021;FR270559;20.0;Lyon;Toulon;54.0;16.0;Matmut Stadium de Gerland;4:05 PM;March 27 2021
FR270559593362;S20202021;FR270559;19.0;Pau;Brive;27.0;32.0;Stade du Hameau;8:45 AM;January 24 2021
FR270559593361;S20202021;FR270559;19.0;Montpellier Herault;Lyon;16.0;21.0;GGL Stadium;12:15 PM;January 23 2021
FR270559593360;S20202021;FR270559;19.0;La Rochelle;Bayonne;40.0;3.0;Stade Marcel-Deflandre;2:45 PM;January 22 2021
FR270559593359;S20202021;FR270559;19.0;Clermont Auvergne;Castres Olympique;59.0;19.0;Stade Marcel Michelin;12:15 PM;January 23 2021
FR270559593358;S20202021;FR270559;19.0;Agen;Stade Toulousain;0.0;59.0;Alfred Armandie;12:15 PM;January 23 2021
FR270559593357;S20202021;FR270559;19.0;Racing 92;Bordeaux Begles;32.0;33.0;Paris La Defense Arena;9:15 AM;January 23 2021
FR270559593356;S20202021;FR270559;19.0;Toulon;Stade Francais Paris;35.0;13.0;Stade Mayol;3:05 PM;January 24 2021
FR270559593355;S20202021;FR270559;18.0;Stade Toulousain;Brive;42.0;17.0;Stade Ernest-Wallon;8:45 AM;March 6 2021
FR270559593354;S20202021;FR270559;18.0;Stade Francais Paris;Agen;40.0;21.0;Stade Jean Bouin;11:00 AM;March 6 2021
FR270559593353;S20202021;FR270559;18.0;Castres Olympique;La Rochelle;22.0;15.0;Stade Pierre Fabre;11:00 AM;March 6 2021
FR270559593352;S20202021;FR270559;18.0;Bordeaux Begles;Pau;29.0;23.0;Stade Chaban-Delmas;11:00 AM;March 6 2021
FR270559593351;S20202021;FR270559;18.0;Bayonne;Lyon;20.0;28.0;Stade Jean Dauger;11:00 AM;March 6 2021
FR270559593350;S20202021;FR270559;18.0;Montpellier Herault;Clermont Auvergne;22.0;16.0;GGL Stadium;2:45 PM;March 5 2021
FR270559593349;S20202021;FR270559;18.0;Toulon;Racing 92;25.0;21.0;Stade Mayol;3:05 PM;March 6 2021
FR270559593348;S20202021;FR270559;17.0;Racing 92;Castres Olympique;23.0;20.0;Paris La Defense Arena;2:45 PM;February 19 2021
FR270559593347;S20202021;FR270559;17.0;Pau;Toulon;29.0;33.0;Stade du Hameau;11:45 AM;February 20 2021
FR270559593346;S20202021;FR270559;17.0;La Rochelle;Stade Francais Paris;16.0;11.0;Stade Marcel-Deflandre;8:45 AM;February 20 2021
FR270559593345;S20202021;FR270559;17.0;Clermont Auvergne;Bayonne;73.0;3.0;Stade Marcel Michelin;11:45 AM;February 20 2021
FR270559593344;S20202021;FR270559;17.0;Brive;Bordeaux Begles;25.0;23.0;Stade Amedee-Domenech;11:45 AM;February 20 2021
FR270559593343;S20202021;FR270559;17.0;Agen;Montpellier Herault;19.0;39.0;Alfred Armandie;11:45 AM;February 20 2021
FR270559593342;S20202021;FR270559;17.0;Lyon;Stade Toulousain;31.0;23.0;Matmut Stadium de Gerland;3:05 PM;February 20 2021
FR270559593341;S20202021;FR270559;16.0;Stade Toulousain;Pau;31.0;9.0;Stade Ernest-Wallon;2:45 PM;February 12 2021
FR270559593340;S20202021;FR270559;16.0;Toulon;La Rochelle;11.0;29.0;Stade Mayol;3:05 PM;February 13 2021
FR270559593339;S20202021;FR270559;16.0;Racing 92;Lyon;34.0;26.0;Paris La Defense Arena;11:00 AM;February 13 2021
FR270559593338;S20202021;FR270559;16.0;Castres Olympique;Montpellier Herault;48.0;17.0;Stade Pierre Fabre;11:00 AM;February 13 2021
FR270559593337;S20202021;FR270559;16.0;Bayonne;Brive;26.0;23.0;Stade Jean Dauger;1:05 PM;February 14 2021
FR270559593336;S20202021;FR270559;16.0;Agen;Clermont Auvergne;16.0;52.0;Alfred Armandie;8:45 AM;February 27 2021
FR270559593335;S20202021;FR270559;16.0;Bordeaux Begles;Stade Francais Paris;44.0;6.0;Stade Chaban-Delmas;8:45 AM;February 13 2021
FR270559593334;S20202021;FR270559;15.0;Stade Francais Paris;Castres Olympique;29.0;9.0;Stade Jean Bouin;3:05 PM;January 31 2021
FR270559593333;S20202021;FR270559;15.0;Montpellier Herault;Racing 92;22.0;24.0;GGL Stadium;2:45 PM;January 29 2021
FR270559593332;S20202021;FR270559;15.0;Lyon;Pau;17.0;18.0;Matmut Stadium de Gerland;12:15 PM;January 30 2021
FR270559593331;S20202021;FR270559;15.0;Brive;Toulon;25.0;23.0;Stade Amedee-Domenech;12:15 PM;January 30 2021
FR270559593330;S20202021;FR270559;15.0;Bayonne;Agen;48.0;20.0;Stade Jean Dauger;8:45 AM;March 13 2021
FR270559593329;S20202021;FR270559;15.0;La Rochelle;Stade Toulousain;11.0;14.0;Stade Marcel-Deflandre;3:05 PM;February 27 2021
FR270559593328;S20202021;FR270559;15.0;Clermont Auvergne;Bordeaux Begles;36.0;37.0;Stade Marcel Michelin;9:15 AM;January 30 2021
FR270559593327;S20202021;FR270559;14.0;Toulon;Bayonne;14.0;16.0;Stade Mayol;2:45 PM;February 26 2021
FR270559593326;S20202021;FR270559;14.0;Racing 92;La Rochelle;26.0;22.0;Paris La Defense Arena;8:15 AM;February 7 2021
FR270559593325;S20202021;FR270559;14.0;Pau;Clermont Auvergne;31.0;42.0;Stade du Hameau;10:40 AM;January 10 2021
FR270559593324;S20202021;FR270559;14.0;Castres Olympique;Agen;39.0;23.0;Stade Pierre Fabre;12:30 PM;January 9 2021
FR270559593323;S20202021;FR270559;14.0;Brive;Montpellier Herault;23.0;22.0;Stade Amedee-Domenech;9:00 AM;Enero 10 2021
FR270559593322;S20202021;FR270559;14.0;Bordeaux Begles;Lyon;31.0;9.0;Stade Chaban-Delmas;11:00 AM;January 10 2021
FR270559593321;S20202021;FR270559;14.0;Stade Toulousain;Stade Francais Paris;48.0;24.0;Stade Ernest-Wallon;3:05 PM;January 10 2021
FR270559593320;S20202021;FR270559;13.0;Stade Francais Paris;Brive;51.0;21.0;Stade Jean Bouin;12:00 PM;January 3 2021
FR270559593319;S20202021;FR270559;13.0;Lyon;Castres Olympique;14.0;15.0;Matmut Stadium de Gerland;12:15 PM;January 2 2021
FR270559593318;S20202021;FR270559;13.0;Bayonne;Pau;22.0;23.0;Stade Jean Dauger;3:00 PM;January 16 2021
FR270559593317;S20202021;FR270559;13.0;Agen;La Rochelle;13.0;43.0;Alfred Armandie;12:00 PM;January 2 2021
FR270559593316;S20202021;FR270559;13.0;Montpellier Herault;Stade Toulousain;9.0;16.0;GGL Stadium;11:30 AM;January 2 2021
FR270559593315;S20202021;FR270559;13.0;Clermont Auvergne;Racing 92;22.0;24.0;Stade Marcel Michelin;3:05 PM;January 3 2021
FR270559593314;S20202021;FR270559;13.0;Bordeaux Begles;Toulon;31.0;18.0;Stade Chaban-Delmas;9:15 AM;January 2 2021
FR270559593313;S20202021;FR270559;12.0;Stade Toulousain;Bordeaux Begles;45.0;23.0;Stade Ernest-Wallon;12:00 PM;December 27 2020
FR270559593312;S20202021;FR270559;12.0;Toulon;Clermont Auvergne;27.0;9.0;Stade Mayol;3:00 PM;December 27 2020
FR270559593311;S20202021;FR270559;12.0;Racing 92;Agen;45.0;10.0;Paris La Defense Arena;10:00 AM;December 27 2020
FR270559593310;S20202021;FR270559;12.0;Pau;Stade Francais Paris;29.0;27.0;Stade du Hameau;1:00 PM;December 27 2020
FR270559593309;S20202021;FR270559;12.0;La Rochelle;Montpellier Herault;22.0;9.0;Stade Marcel-Deflandre;8:00 AM;December 27 2020
FR270559593308;S20202021;FR270559;12.0;Castres Olympique;Bayonne;31.0;21.0;Stade Pierre Fabre;12:00 PM;February 7 2021
FR270559593307;S20202021;FR270559;12.0;Brive;Lyon;12.0;8.0;Stade Amedee-Domenech;10:00 AM;December 27 2020
FR270559593306;S20202021;FR270559;11.0;Pau;Castres Olympique;13.0;17.0;Stade du Hameau;12:00 PM;December 6 2020
FR270559593305;S20202021;FR270559;11.0;Lyon;La Rochelle;22.0;18.0;Matmut Stadium de Gerland;12:15 PM;December 5 2020
FR270559593304;S20202021;FR270559;11.0;Clermont Auvergne;Montpellier Herault;15.0;21.0;Stade Marcel Michelin;2:45 PM;December 4 2020
FR270559593303;S20202021;FR270559;11.0;Bayonne;Stade Toulousain;20.0;24.0;Stade Jean Dauger;12:15 PM;December 5 2020
FR270559593302;S20202021;FR270559;11.0;Agen;Brive;6.0;15.0;Alfred Armandie;12:15 PM;December 5 2020
FR270559593301;S20202021;FR270559;11.0;Bordeaux Begles;Racing 92;12.0;17.0;Stade Chaban-Delmas;9:15 AM;December 5 2020
FR270559593300;S20202021;FR270559;11.0;Stade Francais Paris;Toulon;24.0;23.0;Stade Jean Bouin;3:05 PM;December 6 2020
FR270559593299;S20202021;FR270559;10.0;Stade Toulousain;Agen;63.0;18.0;Stade Ernest-Wallon;12:15 PM;November 28 2020
FR270559593298;S20202021;FR270559;10.0;Toulon;Pau;18.0;13.0;Stade Mayol;9:15 AM;November 28 2020
FR270559593297;S20202021;FR270559;10.0;Racing 92;Bayonne;43.0;17.0;Paris La Defense Arena;1:00 PM;November 29 2020
FR270559593296;S20202021;FR270559;10.0;Montpellier Herault;Bordeaux Begles;22.0;23.0;GGL Stadium;12:15 PM;November 28 2020
FR270559593295;S20202021;FR270559;10.0;La Rochelle;Brive;36.0;22.0;Stade Marcel-Deflandre;12:15 PM;November 28 2020
FR270559593294;S20202021;FR270559;10.0;Castres Olympique;Clermont Auvergne;14.0;40.0;Stade Pierre Fabre;2:45 PM;November 27 2020
FR270559593293;S20202021;FR270559;10.0;Lyon;Stade Francais Paris;20.0;19.0;Matmut Stadium de Gerland;3:05 PM;November 29 2020
FR270559593292;S20202021;FR270559;9.0;Pau;Stade Toulousain;16.0;22.0;Stade du Hameau;9:15 AM;November 14 2020
FR270559593291;S20202021;FR270559;9.0;Stade Francais Paris;La Rochelle;35.0;13.0;Stade Jean Bouin;3:05 PM;November 15 2020
FR270559593290;S20202021;FR270559;9.0;Castres Olympique;Bordeaux Begles;29.0;30.0;Stade Pierre Fabre;2:45 PM;November 13 2020
FR270559593289;S20202021;FR270559;9.0;Brive;Racing 92;19.0;23.0;Stade Amedee-Domenech;12:00 PM;November 14 2020
FR270559593288;S20202021;FR270559;9.0;Bayonne;Montpellier Herault;29.0;20.0;Stade Jean Dauger;11:45 AM;November 14 2020
FR270559593287;S20202021;FR270559;9.0;Agen;Toulon;9.0;38.0;Alfred Armandie;11:30 AM;November 14 2020
FR270559593286;S20202021;FR270559;9.0;Clermont Auvergne;Lyon;26.0;18.0;Stade Marcel Michelin;2:45 PM;February 5 2021
FR270559593285;S20202021;FR270559;8.0;Stade Toulousain;Castres Olympique;16.0;16.0;Stade Ernest-Wallon;9:15 AM;November 7 2020
FR270559593284;S20202021;FR270559;8.0;Toulon;Brive;35.0;19.0;Stade Mayol;3:00 PM;November 6 2020
FR270559593283;S20202021;FR270559;8.0;Racing 92;Pau;24.0;22.0;Paris La Defense Arena;12:15 PM;November 7 2020
FR270559593282;S20202021;FR270559;8.0;Montpellier Herault;Stade Francais Paris;31.0;6.0;GGL Stadium;3:00 PM;February 6 2021
FR270559593281;S20202021;FR270559;8.0;Bordeaux Begles;Bayonne;43.0;19.0;Stade Chaban-Delmas;12:15 PM;November 7 2020
FR270559593280;S20202021;FR270559;8.0;Agen;Lyon;16.0;19.0;Alfred Armandie;1:00 PM;November 8 2020
FR270559593279;S20202021;FR270559;8.0;La Rochelle;Clermont Auvergne;19.0;10.0;Stade Marcel-Deflandre;3:05 PM;November 8 2020
FR270559593278;S20202021;FR270559;7.0;Pau;La Rochelle;24.0;35.0;Stade du Hameau;11:00 AM;November 1 2020
FR270559593277;S20202021;FR270559;7.0;Lyon;Montpellier Herault;24.0;20.0;Matmut Stadium de Gerland;12:45 PM;January 6 2021
FR270559593276;S20202021;FR270559;7.0;Castres Olympique;Racing 92;28.0;26.0;Stade Pierre Fabre;1:15 PM;October 31 2020
FR270559593275;S20202021;FR270559;7.0;Brive;Clermont Auvergne;21.0;43.0;Stade Amedee-Domenech;10:15 AM;October 31 2020
FR270559593274;S20202021;FR270559;7.0;Bordeaux Begles;Agen;71.0;5.0;Stade Chaban-Delmas;1:15 PM;October 31 2020
FR270559593273;S20202021;FR270559;7.0;Bayonne;Toulon;35.0;29.0;Stade Jean Dauger;12:15 PM;November 21 2020
