MATCH_ID;SAISON_ID;COMPETITION_ID;HOME_TEAM;AWAY_TEAM;HOME_SCORE;AWAY_SCORE
FR270559593274;20202021;270559;Bordeaux Begles;Agen;71;5
FR270559593276;20202021;270559;Castres Olympique;Racing 92;28;26
FR270559593278;20202021;270559;Pau;La Rochelle;24;35
FR270559593272;20202021;270559;Stade Francais Paris;Stade Toulousain;48;14
FR270559593273;20202021;270559;Bayonne;Toulon;35;29
FR270559593277;20202021;270559;Lyon;Montpellier Herault;24;20
FR270559593235;20202021;270559;Montpellier Herault;Pau;23;26
FR270559593231;20202021;270559;La Rochelle;Toulon;29;15
FR270559593233;20202021;270559;Lyon;Racing 92;23;27
FR270559593234;20202021;270559;Agen;Castres Olympique;22;26
FR270559593232;20202021;270559;Brive;Bayonne;42;23
FR270559593236;20202021;270559;Clermont Auvergne;Stade Toulousain;33;30
FR270559593237;20202021;270559;Racing 92;Montpellier Herault;41;17
FR270559593242;20202021;270559;Pau;Agen;33;23
FR270559593238;20202021;270559;Stade Toulousain;La Rochelle;39;23
FR270559593239;20202021;270559;Bordeaux Begles;Brive;25;20
FR270559593240;20202021;270559;Bayonne;Clermont Auvergne;21;19
FR270559593241;20202021;270559;Castres Olympique;Stade Francais Paris;16;22
FR270559593243;20202021;270559;Toulon;Lyon;36;14
FR270559593247;20202021;270559;Brive;Pau;19;13
FR270559593244;20202021;270559;Stade Francais Paris;Bayonne;19;26
FR270559593249;20202021;270559;Clermont Auvergne;Agen;31;12
FR270559593250;20202021;270559;Stade Toulousain;Toulon;39;19
FR270559593245;20202021;270559;Lyon;Bordeaux Begles;27;10
FR270559593248;20202021;270559;La Rochelle;Racing 92;9;6
FR270559593246;20202021;270559;Montpellier Herault;Castres Olympique;19;21
FR270559593254;20202021;270559;Bayonne;La Rochelle;19;36
FR270559593253;20202021;270559;Agen;Stade Francais Paris;3;20
FR270559593257;20202021;270559;Toulon;Montpellier Herault;25;21
FR270559593252;20202021;270559;Racing 92;Stade Toulousain;24;30
FR270559593256;20202021;270559;Pau;Lyon;29;29
FR270559593255;20202021;270559;Castres Olympique;Brive;24;25
FR270559593251;20202021;270559;Bordeaux Begles;Clermont Auvergne;16;16
FR270559593261;20202021;270559;La Rochelle;Castres Olympique;62;3
FR270559593263;20202021;270559;Montpellier Herault;Agen;42;13
FR270559593264;20202021;270559;Pau;Bordeaux Begles;29;24
FR270559593260;20202021;270559;Brive;Stade Toulousain;16;36
FR270559593262;20202021;270559;Lyon;Bayonne;62;10
FR270559593259;20202021;270559;Clermont Auvergne;Stade Francais Paris;41;27
FR270559593258;20202021;270559;Racing 92;Toulon;23;29
FR270559593270;20202021;270559;Toulon;Castres Olympique;19;6
FR270559593271;20202021;270559;Stade Toulousain;Lyon;7;16
FR270559593265;20202021;270559;Stade Francais Paris;Racing 92;25;27
FR270559593266;20202021;270559;Agen;Bayonne;15;26
FR270559593267;20202021;270559;Clermont Auvergne;Pau;50;29
FR270559593269;20202021;270559;Montpellier Herault;Brive;30;6
FR270559593268;20202021;270559;La Rochelle;Bordeaux Begles;20;6
FR270559593309;20202021;270559;La Rochelle;Montpellier Herault;22;9
FR270559593307;20202021;270559;Brive;Lyon;12;8
FR270559593311;20202021;270559;Racing 92;Agen;45;10
FR270559593313;20202021;270559;Stade Toulousain;Bordeaux Begles;45;23
FR270559593310;20202021;270559;Pau;Stade Francais Paris;29;27
FR270559593312;20202021;270559;Toulon;Clermont Auvergne;27;9
FR270559593308;20202021;270559;Castres Olympique;Bayonne;31;21
